退款多久到	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5556.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
冰箱以旧换新可以吗	是否支持回收您可<a href="http://help.gome.com.cn/question/5601.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
我想补开一张发票，如何办理	发票相关您可参考服务中心-发票制度 链接：<a href="http://help.gome.com.cn/article/238-0-0.html">http://help.gome.com.cn/article/238-0-0.html </a>
增值税发票还没有收到	增值税发票会在订单妥投后7-15个工作日内开具并寄出，若您在订单妥投后超过15个工作日仍未收到发票，请与国美客服联系，我们会优先为您安排处理。
我这个发票还没有收到呢	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
没有收到发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
发票没有收到	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
怎么没有发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
货收到但没有发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
我收到货物怎么没有发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
我怎么没有收到发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
格力空调安装费多少钱	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
安装费用多少钱	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
安装费用需要多少钱	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
安装材料要加多少钱啊	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
安装费多少钱	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
空调安装费多少钱	亲~安装相关您可参考服务中心-上门安装 连接：<a href="http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2">http://help.gome.com.cn/question/25.html?intcmp=search-1000043269-2</a>  查看的哦~~~
电饭煲回收吗	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5599.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
怎么没给我发票啊	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
发票没怎么给	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
发票没给我开过来	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
为什么没给我发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
这空调安装的时候有插头吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5566.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
这个空调配送的时候会负责安装的吧	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
安装要多少时间	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
上门安装时间	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么时间安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有没有安装许可证	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有没有安装教程	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
没有安装费吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有没有安装费	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
有没有安装呀	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
以旧换新如何操作的	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
怎样解决以旧换新	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
以旧换新怎么操作	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
买热水器能包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买长虹电视机包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买的电器包安装吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
包安装的吗	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
能否补开发票	若您收到商品后少普通发票，请先查看下单时是否选择了开具发票及选择的是电子发票还是纸质发票，若勾选的是普通纸质发票没有收到，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服为您核实处理
能否开发票	发票相关您可参考服务中心-发票制度 链接：<a href="http://help.gome.com.cn/article/238-0-0.html">http://help.gome.com.cn/article/238-0-0.html </a>
能否开发票呢	发票相关您可参考服务中心-发票制度 链接：<a href="http://help.gome.com.cn/article/238-0-0.html">http://help.gome.com.cn/article/238-0-0.html </a>
能否开纸质发票	电子发票跟纸质发票一样有法律效力可作为保修凭据。部分商品下单时默认开具电子发票，如不需要请选择纸质发票。电子发票一般在订单妥投后48小时内开具，<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>在订单详情页查看并下载PDF格式电子发票。
没有开发票 能否补开	建议您可<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服美眉协助处理哦。
发票能否开办公用品	下单时会显示您这个商品所支持的开具的发票信息，您可根据您的需要选择发票的内容哦。
怎么看自己的账号	国美ID号就是在国美注册的购物账号，和国美用户名是同一个，<a href="http://myhome.gome.com.cn/member/profile">点击这里</a>查看用户名。
我怎么注销账户	目前账号无法注销的哦~
怎么注册账号	请<a href="https://login.gome.com.cn/login?intcmp=help-public01035&type=logout">点击这里</a>进行注册，按提示操作即可。
怎么登陆帐户	请<a href="https://login.gome.com.cn/login?intcmp=help-public01035&type=logout">点击这里</a>进行注册，按提示操作即可。
怎么查询账户国美币（账户余额）	<a href="http://myhome.gome.com.cn/member/gomeVirtualAcount">点击这里</a>可查询国美币（余额）。锁定国美币（余额）可能是您已使用或已提现，不支持使用。
国美币（账户余额）查询	<a href="http://myhome.gome.com.cn/member/gomeVirtualAcount">点击这里</a>可查询国美币（余额）。锁定国美币（余额）可能是您已使用或已提现，不支持使用。
在哪里查看国美币（账户余额）	<a href="http://myhome.gome.com.cn/member/gomeVirtualAcount">点击这里</a>可查询国美币（余额）。锁定国美币（余额）可能是您已使用或已提现，不支持使用。
今天能到吗	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息
周末送货吗	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
配送货到镇上吗	请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，查询配送范围哦。</p>
不同货物一起配送吗	不同货物有可能从不同地方发出，不一定能一起配送。
在哪发货	自营大家电一般是由当地分部安排发货配送，小件商品由指定库房发货，联营商品由商家自有库房发货，详情可联系商家客服咨询确认（特殊商品除外）
在哪绑定银行卡	<p>如需查看具体美盈宝绑定银行卡操作图示，请<a href="http://help.gome.com.cn/question/5328.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
不支持配送地区能否送货	建议您三思哦，有可能会送不到的呢…
现在下单什么时候能送到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
现在下单什么时候能送货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
想问下现在下单什么时候能送到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我现在下单什么时候能收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
现在下单，大概什么时候能收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
现在下单什么时候能收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我的货还没收到	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
没收到货，显示已签收了	请先看下商品是否被物管、家人同事签收，若未签收请<a href="htthttp://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D72047830291%26loginname%3D13717588721%26grade%3D5%26name%3D%E7%BE%8E%E7%BE%8E_451487663686818%26memo%3D%26hashCode%3Dbf78a171e793aa67a4623278ad45ccbe%26timestamp%3D1489980641692&page=0&enterurl=http://help.gome.com.cn/&areaCode=11010800%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E9%2580%259A%25E5%25B7%259E%25E5%258C%25BA%257C11010000%257C11000000%257C110102001&shopname=%25EF%25BF%25BD%25EF%25BF%25BD%25EF%25BF%25BD%25DF%25BF%25CD%25B7%25EF%25BF%25BD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服处理
但是没收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
没收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
还没收到货	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/> 国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>  具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
我的订单为什么还没发货	不好意思让您久等了，目前我们已经在全力的安排发货了，仓库的同事们都忙晕了，还麻烦您耐心等待下哦。
我的订单怎么还没有发货	不好意思让您久等了，目前我们已经在全力的安排发货了，仓库的同事们都忙晕了，还麻烦您耐心等待下哦。
请问我的订单发货了没	<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0">点击这里</a>进入订单中心即可查看物流跟踪信息
我的订单到现在还没发货	不好意思让您久等了，目前我们已经在全力的安排发货了，仓库的同事们都忙晕了，还麻烦您耐心等待下哦。
我的订单怎么还没发货啊	不好意思让您久等了，目前我们已经在全力的安排发货了，仓库的同事们都忙晕了，还麻烦您耐心等待下哦。
要是买到假货呢	亲，请您放心，<p>您在国美在线购物可以享受四大保障，如需查看具体内容，请<a href="http://help.gome.com.cn/question/5675.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
万一买到假货怎么办	亲，请您放心，<p>您在国美在线购物可以享受四大保障，如需查看具体内容，请<a href="http://help.gome.com.cn/question/5675.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
要是买到假货怎么办	亲，请您放心，<p>您在国美在线购物可以享受四大保障，如需查看具体内容，请<a href="http://help.gome.com.cn/question/5675.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如果买到假货怎么办	亲，请您放心，<p>您在国美在线购物可以享受四大保障，如需查看具体内容，请<a href="http://help.gome.com.cn/question/5675.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调以旧换新	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
空调以旧换新吗	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
请问海尔空调有以旧换新服务吗	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
空调有没有以旧换新	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
空调可不可以以旧换新	是否支持回收您可<a href="http://help.gome.com.cn/article/331-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>了解更多。
空调是否包安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
空调是否送货上门包安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
是包送货上楼?是否包安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问这款是否包安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
是否送货上门包安装	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
请问买格力空调是否包安装的	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5564.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
手机坏了怎么修	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
手机坏了，怎么保修	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
手机坏了怎么维修	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
手机坏了怎么修	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5572.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我需要发票	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5857.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
