货到付款	亲好，如果您想货到付款购买商品，联系在线<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dff4c73425522d7f34fa1fb578cc16d20%26timestamp%3D1483423376172&page=0&enterurl=http://help.gome.com.cn/question/9.html?intcmp=sy-public01023&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=162&subject=%E5%9C%A8%E7%BA%BF%E5%92%A8%E8%AF%A2"><strong><span>人工客服</span></strong></a>####帮您提交订单哦
客服热线	<p>请<a href="http://help.gome.com.cn/question/5656.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>查看具体联系方式哦~</p>
客服传真	<p>传真号：010-57950666，接收商品因质量问题开具的质检报告、鉴定单或办理业务所需的相关证件等。</p>
用户体验	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5658.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
登录流程	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5134.html"><span style="color: rgb(51,102,255);"><strong>点击这里</strong></span></a>哦~ "
如何找回支付密码？	<p>手机或邮箱已验证的情况下，如需找回支付密码，请<strong><a href="http://myhome.gome.com.cn/member/accountSecurity?atc=atc"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>；</p>####<p>手机或邮箱未验证的情况下，如需找回支付密码，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D93f5e500f7ded0dc32a945b8048e4749%26timestamp%3D1483602108717&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);"><strong>点击这里</strong></span></a>联系人工客服为您服务。</p>####<p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5137.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
购物保障	<p>您在国美在线购物可以享受四大保障，如需查看具体内容，请<a href="http://help.gome.com.cn/question/5675.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
谨防诈骗提示	<p>亲爱的童鞋们~ 近期有不法分子通过私人手机号码、短信、QQ、微信等形式，以订单异常等理由联系诱导小伙伴儿们点击非法链接进行退款诈骗，为了防止小伙伴儿们上当受骗，我们特别制作此版图文提示，教您识破诈骗分子的诡计，当您遇到以下类似页面，千万不要继续点击，谨防上当受骗！！！</p>####<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5708.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何注册国美在线账号？	<p><span style="color: rgb(51,51,51);WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;DISPLAY: inline;WHITE-SPACE: normal;FLOAT: none;LETTER-SPACING: normal;WORD-SPACING: 0.0px;">账户申请成功后，不支持注销账户哦~注册国美账户，请<strong><a       href="https://reg.gome.com.cn/register/index/person"><span style="color: rgb(51,102,255);">点击这里</span></a></strong></span><span style="color: rgb(51,51,51);WIDOWS: 1;TEXT-TRANSFORM: none;BACKGROUND-COLOR: rgb(255,255,255);TEXT-INDENT: 0.0px;DISPLAY: inline;WHITE-SPACE: normal;FLOAT: none;LETTER-SPACING: normal;WORD-SPACING: 0.0px;">，按提示操<span   style="color: rgb(0,0,0);">作即可。如需查看具体操作图示，</span>请<a       href="http://help.gome.com.cn/question/5757.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</span></p>
如何使用扫码登录？	如需扫二维码登录账号，请<a href="https://login.gome.com.cn/login?intcmp=sy-public01035&type=logout"><span style="color: rgb(51,102,255);"><strong>点击这里</strong></span></a>####<strong>，</strong>####二维码在登录框的右下角哦~如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5139.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~
登录密码忘记了怎么办？	<p>手机或邮箱已验证的情况下，如需找回登录密码，请<a href="http://myhome.gome.com.cn/member/passwordReset"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>；</p>####<p>手机或邮箱未注册的情况下，如需找回登录密码，请<strong><a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D6c32b2c55218c711d53813962cee7030%26timestamp%3D1483601030423&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&fromChaterInfoBox=1&skillId=179&subject=%E5%BF%98%E8%AE%B0%E5%AF%86%E7%A0%81"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>联系人工客服为您服务。</p>####<p>如需查看具体操作图示，请<strong><a href="http://help.gome.com.cn/question/5136.html"><span style="color: rgb(51,102,255);">点击这里</span></a></strong>哦~</p>
可以拨打客服热线订购商品吗？	请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3D30b6ae5041c8a2e61e1ce5c5134e76d1%26timestamp%3D1483602638263&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=163&subject=%E5%9C%A8%E7%BA%BF%E8%AE%A2%E8%B4%AD"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####可联系人工客服帮您购买，或者拨打客服热线4008-708-708帮您下单。"
国美在线购物流程	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5130.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
如何成功购买商品	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5131.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是真划算？	真划算是国美在线团购、抢购、夜间特惠等活动的促销平台。您在促销时间内，可按优惠价格购买心仪商品。
如何进行抢购？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5145.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
团购/抢购没有成功怎么办？	<p>因真划算活动力度较大，参加人数较多及商品数量有限，系统会根据下单顺序情况自动匹配销售数量；如您未能成功购买，请您关注其他时间促销活动；</p>
购买真划算商品是否可参加其他优惠活动？	<p>真划算属于商品的一种促销形式，参加真划算的商品将不再重复参与其它优惠活动（如有特殊促销活动说明，以活动规则为准）</p>
预约购买流程	如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5164.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
预约成功，一定可以购买到商品吗？	<p>受库存等因素限制，预约购买商品每人限购一件，先到先得。请留意开售时间，准时参与抢购哦。</p>
参与预约，需要支付订金吗？	参与预约获取购买资格是完全免费的
预售购买流程	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5165.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
支付定金后，多久可以收到商品？	支付定金后至预售活动结束，我们会短信通知您支付尾款，尾款支付阶段过后，我们将为您发货。
支付定金后，未支付尾款，订单将怎么处理？	在尾款支付阶段超期未支付尾款的，订单将被自动取消，如您需要申请退还定金，请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dae236153492c725039bad57c570c5324%26timestamp%3D1483603337358&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=173&subject=%E9%85%8D%E9%80%81%E5%B8%AE%E5%8A%A9"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服。
定金和尾款都支付后，申请退货，如何操作？	您可<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dae236153492c725039bad57c570c5324%26timestamp%3D1483603337358&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=173&subject=%E9%85%8D%E9%80%81%E5%B8%AE%E5%8A%A9"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系客服申请退款/退货哦~
什么是合约计划？	<p>合约计划是由极信运营商推出活动，用户只需承诺在网一定时间，即可享受的优惠活动。<br/>活动包括：合约优惠购机（包括购机送话费、预存话费送手机）、选号赠话费、存话费赠话费（存费送费）等，具体以每家极信运营商实际推出的活动为准。</p>
什么是合约机？	<p>合约机是指用户购机时承诺一定的在网时间，即可享受运营商提供的购机优惠补贴或者话费赠费。</p>####<p>合约类型：</p>####<p>购机送话费：购买手机同时办理入网业务，在一定时间内可享受话费赠送。</p>####<p>预存话费送手机：预存一定话费（话费一般分月到账），即可享受购机优惠补贴。</p>
如何购买合约机和号卡？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5878.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
购买极信产品相关须知	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5879.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
如何参与团购？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5147.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
违规订单说明	如需查看具体说明，请<a href="http://help.gome.com.cn/question/5377.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
违规订单处理规则	如需查看具体规则，请<a href="http://help.gome.com.cn/question/5881.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
节能补贴说明	<p>如需查看具体内容，请<a href="http://help.gome.com.cn/question/5140.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
价格保护说明	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5608.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
淘实惠商品说明	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5150.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
淘实惠商品是否带发票？	 淘实惠所售商品均附带发票，请您放心购买。
淘实惠商品支付方式？	<p>您可根据订单中所购商品选择适合您的支付方式。</p>
淘实惠商品退货标准	<p>如需查看具体标准，请<a href="http://help.gome.com.cn/question/5159.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
国美家服务流程	<p>如需查看具体操作流程，请<a href="http://help.gome.com.cn/question/5760.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是国美家？	<p>国美家：是国美在线旗下的互联网装修平台，满足您的 “基础装修”为基本要求，实现“拎包入住”的美好愿望！<br/>现阶段国美家免费为您量房并提供设计方案及报价服务。</p>
国美海外购的购物流程	<p>如需查看具体流程，请<a href="http://help.gome.com.cn/question/5676.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
国美海外购介绍	如需查看具体介绍，请<a href="http://help.gome.com.cn/question/5761.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
如何分享赚返利？	<p>把支持分享返利的商品分享给好友，若好友购买该商品，在订单妥投之后可获得相应返利（返利为国美币），返利可下载并登陆“国美Plus”APP进行查看并使用。</p>####<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/6139.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>####<p>如需下载国美Plus，请<a href="https://www.gomeplus.com/others/download.html?distribution_channel=060120001"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
什么是国美币？	<p> 国美币是“国美Plus”APP的虚拟货币，1国美币等于1人民币，可用于提现或在“国美Plus”APP消费。</p>
好友通过我分享的链接购买后，我能获得多少国美币？	<p>能够获得国美币的数量，需根据用户通过分享链接购买的商品实际支付金额计算。</p>
通过分享购买的商品申请退换货了，我还能获得返利吗？	如果分享并购买的商品发起了退换货申请，该订单内商品依然可以获得返利。
分享返利获得的国美币什么时候到账？如何查看？	 <p>在订单妥投之后7天到账，在国美Plus app“我的”—“返利”中查看。<br/>注：<br/>1、请使用国美在线账号内绑定的手机号登录或注册国美Plus APP；<br/>2、如使用第三方合作账号登录国美Plus APP，需关联国美在线账号内绑定的手机号。</p>
为什么分享了商品赚不到返利？	<p>1、分享的商品必须是带有分享返利标识的商品；<br/>2、分享后并没有用户通过链接进行购买或购买后取消订单；<br/>3、购买者可能没有通过分享链接购买商品；<br/>4、购买“搭配购”主商品的同时勾选了其他搭配商品一同下单，该订单内商品无法获得返利。</p>
国美币可以提现到银行卡吗？提现后什么时候到账？	<p>可以提现<br/>提现支持银行（仅支持储蓄卡）列表：<br/>浦发银行、工商银行、农业银行、建设银行、招商银行、兴业银行、中国银行、光大银行、交通银行、全国邮蓄银行、广东发展银行<br/>到账时间：提现受理后，预计2到10个工作日内到账<br/>提现金额：<br/>单笔最小额度10元、单笔最大额度1万元<br/>单日最大笔数5笔、单日最大金额2万元<br/>单月最大金额5万元</p>
配送费如何收取？	<p>如需查看具体费用情况，请<a href="http://help.gome.com.cn/question/104.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
“满39/99元免运费”是指的下单金额还是实际支付金额？	<p>免运费额度以订单实付金额为准，如使用优惠券后实付金额不满39元或99元仍需收取运费。</p>
什么是国美小件商品配送？	<p> 由国美自建配送团队或合作物流公司提供配送服务的手机、数码影像、笔记本电脑、厨卫小电等小件商品。</p>
什么是国美大家电配送？	<p> 由国美自有物流发货并提供配送服务的冰箱、洗衣机、空调、彩电、厨卫大家电等大件商品。</p>
什么是第三方卖家配送？	通过第三方卖家购买的商品，一律由商家为您选择的专业快递公司配送。
什么是供应商直接配送？	由供货商提供配送服务的烟机、灶具、热水器、消毒柜等大件电器及部分小件商品。
供应商直接配送的商品品类有哪些？	<p>如需查看具体品类，请<a href="http://help.gome.com.cn/question/5008.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
供应商配送商品退换货的邮费由谁承担？	<p>如需查看具体情况，请<a href="http://help.gome.com.cn/question/5010.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
供应商配送商品注意事项	<p>如需查看具体事项，请<a href="http://help.gome.com.cn/question/5009.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
配送范围查询	<p>如需查看具体范围，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
我的地址比较偏僻，也能够送到吗？	<p>如需查看具体配送范围，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
商品页面显示免运费，为何还会收取运费？	<p>如您的地址超出配送区域，会收取一定的远程费。<br/>远程费主要针对如冰箱等大件家电商品，部分大件商品配送到偏远地区会收取相应远程费、过桥费、小区进门费等，此类费用不在免费送货服务内，需您自行承担。</p>
小件商品送货进度查询方法	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5695.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
订单提交后多长时间出库、多长时间可以收到商品？	国美大家电配送：自下单起48小时内，会有工作人员电话联系您确认送货时间（下单时可选择配送时间的订单除外）；<br/>####国美小件商品配送：自下单起24小时内出库，请<a href="http://help.gome.com.cn/question/9.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>########具体查询；<p>供货商直接配送：自下单起48小时内出库，出库后7个工作日内送达；<br/>第三方商家配送：自下单起72小时内发货（显示揽收信息），除预售商品、海外购商品、定制商品及大件家具商品按店铺公告或与店铺协商日期为准，送货时间市区预计7个工作日内，偏远地区预计12个工作日内送达。<br/>具体配送进度请<a href="http://myhome.gome.com.cn/member/myOrder?intcmp=sy-public01004&flag=a0"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>，通过追踪功能实时查看。</p>
自营大家电下单后最多可保留几天？	自下单成功时间起计算，最长保留10天（含10天），超期系统将自动取消。
国美在线有哪些特色配送服务？	我们的特色配送服务有：计时达、限时达、半日达、次日达、指定日达
什么是指定日达？	在指定日达区域，您可享有选择自下单之日起7日内的预约送达服务。
什么是次日达？	在次日达区域，当天22:00前提交的现货订单（以订单出库时间点开始计算），次日送达。
什么是半日达？	当天上午11:00前提交的现货订单（以订单出库时间点开始计算），当日送达。
什么是限时达？	国美自有物流负责配送的国美在线自营现货直配大家电商品，享受此服务。<br/>####结合实时运能，您可以在下单时选择次日及以后的三个时间段配送<br/>####次日及以后的10:00至14:00前为您送到；<br/>####次日及以后的14:00至18:00前为您送到；<br/>####次日及以后的18:00至22:00前为您送到。
什么是计时达？	<p>国美自有物流负责配送的国美在线自营现货直配大家电商品，享受此服务。<br/>当日12:00前提交的现货直配订单，当日20:00前为您送到；<br/>当日12:00至14:00间提交的现货直订单，当日22:00前为您送到；<br/>当日14:00后提交的现货直配订单，次日14:00前为您送到。</p>####<p>如需查看具体注意事项，请<a href="http://help.gome.com.cn/question/5016.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
门店自提	如需查看具体自提介绍，请<a href="http://help.gome.com.cn/question/37.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
签收与验货流程是？	<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5022.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
商品签收前，我应该做哪些检查？	<p>国美在线承诺：所有商品均为原厂正品，收货时请确认我司统一包装或厂家包装。</p>####<p>如需查看具体图示，请<a href="http://help.gome.com.cn/question/5023.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
验货时我应该核对哪些信息？	请在配送人员在场的情况下与配送员核对商品数量、型号、外观、配件和发票；<br/>####如是货到付款订单，需核对商品与款项是否一致，确保货款两清。<br/>####若您在配送员离开后发现款项有误，将无法为您核实处理。"
验货时发现异常如何处理？	<p>若发现异常（如商品缺失、损坏、渗漏、无发票等），请务必让配送人员填写开箱证明，并立即联系国美在线客服人员进行反馈和登记，客服人员会根据您的实际情况做相应处理。请<a href="http://chat5.gome.com.cn/live800/chatClient/chatbox.jsp?companyID=3&customerID=3&info=userId%3D42562675198%26loginname%3D960557418_n%26grade%3D5%26name%3D960557418_n%26memo%3D%26hashCode%3Dae236153492c725039bad57c570c5324%26timestamp%3D1483603337358&page=0&enterurl=http://www.gome.com.cn/&areaCode=11010500%257C%25E5%258C%2597%25E4%25BA%25AC%25E5%25B8%2582%25E6%25B5%25B7%25E6%25B7%2580%25E5%258C%25BA%25E6%259B%2599%25E5%2585%2589%25E8%25A1%2597%25E9%2581%2593%257C11010000%257C11000000%257C110105025&shopname=%25E5%259C%25A8%25E7%25BA%25BF%25E5%25AE%25A2%25E6%259C%258D&back=1&fromChaterInfoBox=1&skillId=173&subject=%E9%85%8D%E9%80%81%E5%B8%AE%E5%8A%A9"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>联系人工客服或拨打国美在线客服热线：4008-708-708。</p>####<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5025.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
可以由他人代签收商品吗？	为了保护您的权益，建议您尽量不要委托他人签收；如由他人代为签收商品而没有在配送人员在场的情况下验货，则视为您所订购商品的包装无任何问题。
所有商品都可以开箱验货吗？	国美在线所售的自营 电视类、空调类 商品不支持配送人员直接开箱验货；<br/>####验收商品不包括安装和通电试机服务。如在安装或通电试机过程中发现商品有质量问题，国美在线将会按照国家三包法规为您进行处理，请<a href="http://help.gome.com.cn/article/307-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####参见《退换货政策》"
配送人员离开后，发现包裹异常怎么办？	如您在配送人员离开后再提出包裹外包装或封带异常，以及商品的型号、数量或外观等存在异常而要求退换货，此时因无法确认责任，将无法为您做进一步处理，请您谅解。<br/>####国美在线强烈建议您在签收前一定做好商品包装及商品的验收。
如果配送人员借口不配合验货和签字确认怎么办？	如配送人员以公司没有规定或着急送货为借口，不配合您进行验货和签字确认，请及时联系国美在线客服进行投诉，客服人员将会在第一时间为您处理；一旦出现此情况，为了维护您的权益，建议您先不要拆开包裹。
商品到货后，我能否签收部分商品？	同一配送单中含多件商品，商品配送时不支持部分拒收。
货到付款的商品能否验货后再付款？	货到付款的商品须完成支付和签收后，再进行拆箱验货。
签收与验货注意事项	<p>（1）请您保留商品外包装至少15天，如您发现商品有质量问题时，以方便能及时有效的为您处理。<br/>（2）商品发票，一般随商品同时配送，请您在包装箱内仔细查找；部分商品发票会在商品配送完成后的7个工作日内为您寄出。有关发票具体事宜，请<a href="http://help.gome.com.cn/article/238-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>参见《发票制度》<br/>（3）验收商品不包括安装和通电试机服务。如在安装或通电试机过程中发现商品有质量问题，国美在线将会按照国家三包法规为您进行处理，请<a href="http://help.gome.com.cn/article/307-0-0.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>参见《退换货政策》<br/>（4）所有商品提供的照片均为专业摄影师拍摄，后期精心修制并进行色彩修正，以求与实际商品保持一致。但由于灯光、显示器色彩偏差以及个人对颜色理解等的不同，导致实物可能与照片存在色差，该类问题不属于商品质量问题，最终颜色以实际商品为准。</p>
订单怎么自动确认收货了？	当物流信息显示配送成功，七天之后系统将自动确认收货。
退换货流程	国美在线为您提供了在线受理退换货的服务，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####提交申请信息，如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5492.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~
我想办理退换货，应该如何申请？	订单完成并确认收货后，请<a href="http://myhome.gome.com.cn/member/myReturnGoodList"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>####，在需要办理退换货的订单下点击“申请”，根据页面提示填写完整信息后，点击提交。 <p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5493.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
办理商品退换货有哪些注意事项？	<p>如需查看具体注意事项，请<a href="http://help.gome.com.cn/question/5494.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
因退换货产生的运费由谁支付？	<p>1、因产品质量问题产生的退换货商品邮寄费用由国美承担，并以红券方式进行返还；<br/>2、无理由退货，邮寄费用由客户承担。</p>
国美在线自营商品退换货总则	<p> 国美在线承诺自商品妥投日期起7日内可退货，15日内可换货，客户可自助提交退换货申请或与国美在线客服取得联系协助您办理退换货事宜。</p>####<p>如需查看具体操作图示，请<a href="http://help.gome.com.cn/question/5498.html"><strong><span style="color: rgb(51,102,255);">点击这里</span></strong></a>哦~</p>
所有商品都支持7天无理由退货么？	 <p>在商品无任何问题情况下，国美承诺：自您实际收到商品次日0点起7日内，在商品返回运费由您承担的情况下,可享受无理由退货。国美所售均为全新品，为保护消费者利益，以下商品不适用于7天无理由退货：<br/>1、个人定作类商品；<br/>2、鲜活易腐类商品；<br/>3、在线下载或者您拆封的音像制品，计算机软件等数字化商品；<br/>4、交付的报纸期刊类商品；<br/>5、其他根据商品性质不适宜退货，经您在购买时确认不宜退货的商品；<br/>6、部分商品除外，详情请见各商品细则。<br/>注：厂家配送商品无理由退货需根据实际情况收取。</p>
数码类产品，所在地无法检测，厂家拒绝提供服务的怎么办？	 手机、相机、电脑等数码类商品，如客户所在地无检测条件或厂家售后拒绝提供服务的请联系客服协调处理。
收到商品外观破损、与页面信息不符、缺少配件等情况怎么办？	收到商品外观破损、与页面信息不符、缺少配件等，我司处理过程中可能需要物流人员证明或要求您提供实物照片等，以便能够快速解决相关问题。
办理退换货时，已使用的美豆、优惠券及赠品如何处理？	在商品退货时，需扣除购买该商品时赠送优惠券及通过评价或晒单所获得的美豆，如赠送的优惠券或美豆已经使用，将从商品退款中扣除相应金额。
哪些情况不予办理退换货？	1、任何非国美出售的商品（序列号不符）；<br/>####2、过保商品（超过三包保修期的商品）；<br/>####3、未经授权的维修、误用、碰撞、疏忽、滥用、进液、事故、改动、不正确的安装所造成的商品质量问题，或撕毁、涂改标贴、机器序号、防伪标记；<br/>####4、无法提供商品的发票、保修卡等三包凭证或者三包凭证信息与商品不符及被涂改的；<br/>####5、其他依法不应办理退换货的。<br/>####温馨提示：在商品退货时，需扣除购买该商品时通过评价或晒单所获得的美豆及相应优惠，如美豆已使用，则从商品退款金额中相应扣除；有赠品的主商品发生退货时，需将赠品一并提交退货返回，如赠品未退回，则主商品无法全额退款。
