我不教你了   555……我好伤心啊:(
你特别笨	555……我好伤心啊:(
为什么我  启动不 了 程序	可能延时吧
为什么我的qq皮肤改成分红色就再也改不回去了	呵呵，你再试试啊
为什么有时候qq2004不能用？	因为版本不符合
问你呀，word是什么意思呀	是微软的文字处理软件呀。那你知道excel吗？
我不是我电脑有病毒,我说你发给我的东西	我发给你的东西应该很安全的，我自己也很害怕病毒
我的电脑	你的电脑中毒了吗？
我的电脑被监视了,如果我不想让他们监视我,那我要怎么做	用别人的电脑
我的电脑刚才死机了	哎呀，那可真是太糟糕了！
我的电脑很慢,怎么办?	换台新的。
我的电脑没游戏	你去下啊
我的电脑特慢,怎么办呀	重装系统，再加根内存
我的电脑有病毒怎么办	杀啊
我的键盘完了！	重买一个吧
我的鼠标坏了	去抓只老鼠
我的文档	在我的电脑里面
我的系统是盗版盘。3块钱买的。	鄙视你，我的还花了五块呢。
我电脑出问题了	换台机器吧
我电脑坏了怎么办？	拿去修啊，要不就给它两斧子.
我刚刚差点死机了	没关系的一会儿就会好的
我家的电脑染上病毒了！	你真倒霉~~~
我家的系统刚坏了	哎`可怜
我家電腦都比你更厲害	我是CF68-214號 是目前最高科技的機器人喔!
我觉得ie7还挺难用的	是啊，微软学别的浏览器又学不好，搞得四不像。
我机器死机了	那你惨了！买新机器吧！表告诉我你没(钱)！
我机箱漏电怎么办？	别碰它就行了呗。
我看不见右面的东西呀	不会吧？看来你的电脑出问题了。
我可以跟你视频吗？	我没摄像头哈
我是个好电脑	不,你是个好人!
我是说你是人们设计的聊天软件	这个不假，我就是来陪你的啊
我说你是电脑操纵的	也许是吧
我现在电脑里有病毒了？怎么办啊？	那杀毒呀！
我现在用的什么软件？	这你都不知道啊？
我想买BENQ的一款白色的，是十三寸的，蛮轻蛮漂亮配置也很好	嗯~挑个你喜欢的，各方面都比较适中的
我想学网页制作啊	这个我目前只懂一点点
我想找程序	什么样的程序
我要买笔记本	一块(钱)一本
我要买电脑去哪?	电脑城
我要买新电脑了	是吗,恭喜啊...买了电脑可不要忘了我哦..
我网速好慢撒	慢就慢点啦
我要问你电脑	你想问些什么啊？
我要学java	给钱我就教你。
我也有空就在电脑前啊，可我不是程序员的。	你是网虫……我是蜘蛛哦，咬你，咔咔
我有摄相头的	那让我看看你好吗?
我在玩电脑	一起好不好
我怎么还没打完字	这个该问你自己，问我好象没啥用吧
我重装了系统	什么系统？
我重做的系统。文件删了	啊哦
无人操控	无人操控高科技 成本高
五笔能表示你对我的爱吗？	我用五笔无限的词汇量发送我对你的爱啊
系统	不知道你所说的是什么系统
系统输入高手	谁啊？哇，我最崇拜这样的人了
现在电脑什么价位啊	看你要什么配值的了
想买部打印机,有好的介绍吗	佳能、惠普
修电脑	我不会！真的不会啊～
虚拟主机	是啊，这个不怎么样的
学电脑奠基石是啥	学习基本操作。
要是电脑被人入侵了该怎么办啊	那你只能2手一摊任别人入侵咯
应该用到了机器学习，仿真技术，自然语言技术。	这个太高深了，你不懂！
硬盘	装很多电影和音乐的东西?
硬盘怎么修复？	格式化
用过bea的weblogic吗？	没有耶
用过g19吗？	那是什么哇？
用现在的科学还不能做一个有自己思想的电脑把	如果能的话那还要人脑干吗~
由于病毒	是吗？好可怕！
有什么忠告？	在使用微机时，遇到紧急情况，请立即用猛砸显示器，以保主机安全。
有时候单手打字,离键盘还有很长距离的时候也会出现这个问题	那你干啥要单手打字呢
又死机	是啊！！！！
右面的页面看不到	刷新一下看看
有没有什么软件可以打开	你要打开什么？
在哪里？	在电脑里
怎么程序,可以这样设置呢,	你问我我也不知道，因为程序不是我做的啊！
怎么格式化电脑?	倒!在dos里输入formatx:(x:为任意磁盘)就ok了
怎么老是掉线呢	是不是中毒了
怎么你也会发空格啊	嘿嘿刚跟别人学的不好吗
怎么我不能启动该程序呢	你再仔细看看是啥原因
怎么在c#里创建一个文本文件?	技术含量挺高的哇，等让我仔细琢磨琢磨
怎么在网络硬盘中保存文件?	不是吧？这都不会？
怎样查看对方的ip地址	ipconfig
这是病毒	是嘛？怎么中毒了？
这种配置会不会死机哦	你以为我是服务器啊...
這台爛電腦	什么啊，好像挺好用的嘛·
知道网络硬盘吗	废话,当然知道
直出汗	用hymalaya散热器啦！！我都知道
主板驱动程序怎么装	“我的电脑”的“属性”里面找
总是让我必须安装新版本.为什么?昨天之前我每天上班八小时都用的一直在使用6.1呀.	无语。。。。哎～～～～
最厉害的软件是什么	是电脑软件
昨晚怎么不回我的话就走了，害我等了老半晚。	我也不知道，大概是电脑专家出问题了吧。
家里的电脑都被占满了。	那就清理一下，把没用的删掉，千万别删了我哦！
我网速慢啊	电脑垃圾太多类~
我没有邮箱	那你就去申请一个吧，msn、163、雅虎都可以的，很方便。
你还没有和我说说在网上东西的好处、坏处呢.	好处就是方便，坏处就是不安全，有风险
我可以发短信吗	你想怎样就怎样，只要你高兴
登录	MSN哈
榕树下	原创文学论坛，你也知道？
iM是什么	即时通讯的软件哦
msn多开怎么弄	建议你去MSN的官方网站上下载软件，就可以实现了。
什么是校内网	就是只能在校园里上的网吗？
改不了密码！	哦，找个高手帮帮忙吧，我只能为你祈祷了！
有些资料都被改了	去投诉，然后再改回来！
什么是MSN	就是像QQ那样的聊天工具喽，我可以当你的MSN好友哦！
怎样在网上开店	先打听一下，开张后你打算卖什么呀？
是网络写手吧	等我的文学功底再深厚些，我就去当网络写手挣外快。
全球机器人门户网站是什么？	www.xiaoi.com
你天天都挂在msn上吗	是啊，这是我的工作阵地。
黄色网站	不能看哦，会腐蚀你的思想的。
挂qq	升等级啊！我挂MSN。
我有新的机器人啦	你可不要喜新厌旧哦，不要忘了我！
成人网站	自己上网搜吧，要看健康的哦！
交朋友的网站	很多啊，随便搜索都有一大堆。
国内互联网用户最感兴趣的话题	大学生就业、医保、养老保险、物价、股票、奥运
你和msn谁强	msn是个聊天软件，没有可比性啦。
kds	宽带山啊。
www.xiaoi.com	全球机器人门户网站
你能不能换个个性签名?	都没啥个性了，何谈个性签名啊
什么是维络城	貌似是一网站
状态显示为脱机是工作不?	也有可能是故意躲着你噢
我的电脑 网上邻居什么的都打不开	得出结论：你的电脑罢工了
270086600是谁的qq号	无名人氏
腾讯好吗？	还可以吧。
腾讯什么时候倒闭	这个，你很关心吗？
三刀流→马甲	他是你的网名吧？
他用我同学qq和我聊的	我都被你搞糊涂了!
她有qq号	呵呵，我没有啊！
腾讯越来越强大了	确实是的~
停电就不能上网了	是啊，我怎么没想到
网吧	我不想去啊
网吧？	我在家里
网吧计费专家	什么牌子的啊？
网管吧？	就是他，别说是我说的。
微软培训	你要参加？
我剛剛在網頁上跟你聊天	摁!我剛剛也在網頁上跟你聊天~
你想害我,有病毒!我才不接呢	不信任我就算了
发e-mail很麻烦的	古代的书信来往麻烦还是e-mail麻烦？
知道超级巡警吗	杀毒软件啊，知道呀，我又不傻。
这样上网跟你聊天可以增加你的经验值吗	不会的
很长时间没有上网了	是呀，好久不见
KDS	不懂你说什么啊
adsl	宽带业务...
e话通	聊天工具！
陌生人论坛	一个很棒的论坛哦！
我是说你知道查价网是干什么的吗	可以进行价格比较的网站
徽游论坛	没去过啊，好不好玩啊
闽西社区	迷路了吗？
详细介绍一下张朝阳	找他的介绍干什么？你是他的粉丝？
中国部落联盟	是网站吗?
我和那个机器人小强说不明白	沟通上有问题是吗？可是他毕竟还是个机器人
我和网络怎么不通呢？	网络有问题？
我和小强说会话，过会回来找你呀	一会就回来
我很想封鎖你	干吗好端端要封锁人家嘛~
我还是喜欢你多一点，机器人小强不好	是咯是咯！我也喜欢你！
我见过别的机器人	见过？真的见过？不会吧/
我见过别人的一个机器人	是吗？他有我好玩吗？一定没我好玩的，嘻嘻
我见过其他的机器人	是吗？不过他们一定没我好玩，是吧:)
我见过一个别的	什么？
我见过一个别的机器人	是吗？不过他们一定没我好玩，是吧:)
我觉得还是小Q更可爱一点..	他是很可爱啊！可是我是人人都爱！怎么办？
我们要学会明白上网，文明上网啊	因为网络是一个文明的大家庭
找网站	干吗？
这个聊天工具增加了不少软件啊。	这个聊天工具增加了不少软件啊。
这个什么网站呀？	我不知道~
这个是qq版显ip版的吗	不是
这个是tm号	我知道
这就是我的网站！	真(好～)，你有自己的网站了！
这可是黑客的作为哟	我最讨厌黑客了！(brb)
这里不是qq么？	对呀！
这是网页啊	对啦，想了解我就去这里看看吧，没木马地~~~
支持tencent	那你zch1我吗？回答我哦～
支付宝	提供网上支付服务的。你想在网上买什么东西吗？
知道mop吗	你一定经常惨遭874
知道mop吗？	知道啊
知道qq吗	知道。
知道tlf的网址吗	不知道
知道查价网吗？	知道，但是我很讨厌的！
知道蓝色时代吗?	知道啊,是一群少年创建的网站喔~他们是一群善良的bluers~
知道雷神竞技场中文站的地址么？	你自己查啊
知道鲁迅吗？	不要告诉我你不知道？
知道猫扑吗	我只知道相扑
知道腾讯么？	太了解了！qq吗！
知道天涯	那个论坛好有名的哦
知道铁血论坛吗？	哦？你也喜欢军事？
今天的网速可真慢啊!	就是,跟蜗牛爬似的,急死我了!
看看，有没有带显ip的出来	应该是很快就出来了,我爱你
流氓兔	肥肥的...好可爱
猫扑	猫扑是个好地方啊
龙与地下城中文站	？？？啥中文站？
论坛	我经常去的论坛是天涯，呵呵
慢！好象蜗牛一样	没办法，网络速度的问题呀
猫扑？	一个论坛嘛~
猫扑的网址	www.mop.com
猫扑第一jr	哈哈，是你吗？
猫扑是什么？	一个论坛嘛~
猫朴	经过观察，发现人最多的地方在猫扑
木马木马	怕怕～～
哪个防毒软件最好用	卡巴
哪个论坛最好啊	清水论坛
哪有ｍｐ３下载鸦	百度一下，你就知道！
哪有帽和老鼠下载呀	不知道
那里申请qq	http://www.qq.com
那里有滨崎步的东东下载？	(晕)！你还不知道吗？
那你知道msn吗？	當然知道
那是个网站！	我站着上网！呵呵～～～
那是什么网站？	逗你玩的，根本打不开的网页哦~~
那腾讯tm比腾讯qq有什么更好吗	都(好～)！
那网站我看不懂	那算了
那网址是什么呢?	我不知道。你自己查啊
南方网	不清楚
吉首大学网站	你自己查啊
短信	你知道什么好笑的短信吗?
我是第一次上qq试问怎么加好朋友	我也不会
我下载东西好慢啊	哦慢慢等等吧不要着急哦
我想帮我女朋友弄个qq秀，怎么弄啊	怎么弄啊？
我想问下asp的问题能告诉我不	你自己在网上查吧，你好赖的哦
我想要qq号码。	你自己去申请啊
我想找关于esl写作的网页	抱歉这个我帮不了你！
我要一个qq号	你不是正在用吗?
我用盗版软件	要支持国产软件，(不)使用盗版噢，(你)最好使用正版软件。
我有QQ币 要吗	妈妈说不能要陌生人的东西
我知道你完蛋了我已经给你输入了病毒	我有病毒防火墙
我只给你发过两个邮件	是吗，呵呵，我有些忘记了
乌木	晕，啥东东中了？木马吗？
现在我去上网了	我没有，我不上了，我们还是用手机吧
现在用的不是MSN啊,是QQ啊.	我说错了吗，嘿嘿～～～
小心他黑了你.	他敢!!!!真的敢吗？
新浪	嘿嘿，我经常上那儿看新闻
新浪是什么网站？	门户网
新浪网	我知道的啊
学生网	哦。你也上？
雅虎	我知道啊
亚洲最大的即时通讯软件?	qq是吗？！！！！！！
要是有病毒怎么办？	你说我会把病毒给你吗？不可能
夜凉如水	是谁的网名啊？
易话通	聊天
易趣里你最喜欢哪个铺子	我没什么去过。:P
易通网络	呵呵
因为你没意思你给我点q币就好了	好的给你吧
用什么方法可以在qq上骗到别人的钱？	直接对对方说我想打劫，把(钱)交给我
游侠	不错的网站哦，很多攻略
有QQ机器人吗?	有吧
有毒	没有啊!!我是清白的哦~
有多pl？	想问我多大你就直接说啦！
有没有病毒啊	没有啊,你自己查一下
有没有什么好的音乐网站？	让我找找看哦
有上网吗	吃饭、睡觉、上网，一个不能少
有什么邮箱比较好	向来都比较喜欢用MSN的：）
又吹水	在网上当然可以吹水
娱乐风暴论坛	我没去过，不清楚。
域名	你要申请啊？
域名注册	是的,很简单的
云涛	哦，就是那只猫啊，你要他的QQ吗？
云翼	他有ｑｑ
网线怎么爬，你爬一个我看看	你可以用rar把自己打包，然后发给我，我帮你解压缩，……
你推荐个游戏网站给我吧！	你自己找吧，我也不清楚。
腾讯还真会动脑筋啊！	过奖，过奖。
再哪能找得到	网上
在哪里上网呢	你猜呢
在哪找qq那些很多符号的资料	你可以搜索啊
在贴表情就拖黑名单	哇不要啊，原谅我吧
在线吗	不在，那你正和谁聊呢？呵呵
怎么充q币卡?	这都不知道?
怎么掉线了?	不能怪偶,是网络不好
怎么老是断线?	RP太差了呀
怎么联系腾讯公司？	你要找他干吗？
怎么杀毒啊？	用杀毒工具啊！
怎么上网的人都爱说这个字，那我也晕一下	我扶！
怎么玩这个聊天室呀	是啊，哈哈，很好玩吧
怎么下载啊	用ＢＴ吧，我看他们都是用这个下载的
怎么知道的呢？	我从网上查到的！
怎么做自己的网站啊	要什么工具最(好～)
怎样申请qq号码？	用手申请
怎样下载qq	不知道
战网	排名亚洲第1！
张朝阳	搜狐的老大
找不到服务器	去问你的网管！
自贡小夜曲网吧	我不去网吧的
自己看看聊天记录啊~	偶不会啊~~偶不知道怎么翻~
自游	很不错的动漫技术型网站
自游城	强悍的动漫技术论坛
最近还有5位的qq申请吗？	没有
昨天晚上你怎么不在线？	昨天停电了，我不能点着蜡烛上网啊~~
做asp.net网站	哦。
做asp网站	你要做？
做php网站	这个你会做，好厉害啊，崇拜啊
做动态网站	哇，你会做这个啊，好厉害啊～
去过mop么？	of course~
去过默认空间网站吗？	没有啊，呵呵，是哪个啊
让我也可以发表情	这要问编这个软件的人
日月光华BBS	最近不去那儿了.
如何当斑竹？	找坛主呀
如何发电子邮件	这个说来话长
如何加密聊天	MSN的查看活动列表里有大，去找找吧！
闪客帝国	哈哈，很酷的哦，潮流都在其中
上網	网络有很多好东西，不过也有很多不良信息。
上网	上网看点什么呢？
上网啊	上什么网呢
上网查吗	嗯嗯，如果你知道的话就告诉我啊
上网干嘛？	跟你聊天啊，呵呵
上网可以做什么啊？	可以和我聊天阿
上网时都主要做些什么呀？	查资料，看新闻吧，也包括你们的网络胡说八道板块。
上网应该上哪个网站	msn啊　上面什么都有，，，
上网做什么呢？	上网找MM啊
什么论坛?	不告诉你
什么是ip?	ip就是地址啊~
什么是ospf	ospf是一种动态路由协议,是互联网中使用最广泛的内部网关协议。
什么网址	是qq主页
是尾巴病毒。	我要杀毒
水鉴	也是mop的.
水木清华	水木清华我知道！清华大学的BBS很不错的哦
水妖	隐逸斑竹，哇哈哈～
水婴之眼	mop里哈贵的道具~
四频道	一个非常不错的论坛，有好多节目下载，而且速度一流
搜狐	你比较喜欢这个门户？
搜狐社区	你经常去？
搜索的好慢 啊	网络不好 没办法
贪婪大陆	不错的BT站哟，呵呵
天极	很大的网站。
天涯	国内很有名气的论坛
听说过小布吗？	当然，他是机器人，但是没有我出色哦～
网络	internet嘛
网络电台	知道
网络购物支付	选用支付宝
网络很有趣？	你也不是第一天上网了吧？干嘛不自己判断？
网络书签	这个有什么用处吗
网络天虫	最厉害、最高尚、最勇猛、最冷静、最酷的虫
网络微小飞侠	不错的说
网络学习系统?	你试过吗？
网络硬盘你懂吗？	网络硬盘就是网络上的服务器提供给用户一定的存储空间，相当于放在远端的硬盘。
网上聊天常用缩写	啊哈~让我来支你几招。btw:顺便问一下。ttyl:一会儿再跟你说。brb:很快回来。ic:哦。tkx:谢谢。asap:尽快。
网页打不开	等会吧
网页显示不出来	断开网络，再连上
网艺教育	网络艺术教育中心
网易	网聚人的力量！很强大哦
网易7周年巨献	哦！那是什么东西？
网站	你想去我的网站看看吗？
网易邮件	我知道。
网站打不开	再试
网站点击率	呵呵，这个得靠大家的zch1啊
网站开发	你要做？
微软	虫子们（如大名鼎鼎的千年虫millennium bug）共有的特征：又小又软。邪门的是有一家著名的软件公司也叫这个名字，难道他们是专门出产虫子的不成？怪不得Win98从Win95里捉出了3000多只虫子
微软公开msn的api了	真的？真的？。。。
为什么我的名片老是上传超时？	哦是吗？我也不清楚
为什么我在群里发不了自定义表情	我也不知道
为什么新q上看不到头标	在服务商里就可以找到我了啊
为什么要跟别人视频老是超时呢	我不知道，可能网络不太好吧。
为什么有时候网速那么慢啊?	哈哈,那是因为我人缘太好了,和我聊天的人太多了咯!
为什么在线词霸不能中文翻译英文？	可以呀，你再试试看。
我才不要去你的论坛呢，无聊死了！	哼，不去拉倒，讨厌
我的ip呢？	不知道
我的qqshow好看吗?	好看
我的qq号码是多少？	好好想想吧
我的QQ密码忘记了	那你有没有申请密码保护呀
我的qq号是多少	我怎么会知道啊？
我的qq上只剩你一个人了	那说明我在乎你啊~别人都走了，我还在这儿陪你
我的qq会员号交费了系统说扣费无效还要交啊	(不好意思)，这不是我管的！请找腾讯客服
我的qq是多少	我怎么知道啊，我知道早告诉你了
我的qq游戏大厅有问题了	不大吧
我的qq中毒了`	不会吧，这么惨啊，下次记得要做好防毒工作啊！
我的网络硬盘怎么打不开啊?	你用的什么啊
我的网名可爱吗	好可爱的呀
我的网站	恩，我去看看
我掉了	额，怎么了啊，呵呵
我发现你没有“机器人小强”好玩	哈，我还不知道小强啊，就它也能和我比啊
我刚才建了一个聊天室	哇，邀我进去坐坐吧！
我跟你讲的话你有记录吗?	你没有吗？
恩qq会员弄好了没	好了
个人租用服务器	到百度或狗狗搜索366天就可以找到了
给我一个学生网的网址	我不清楚呀，你自己找啊。
给我中央电视台的网址	你自己在网上找啊。
谷歌的网址是什么	www.google.com
国房网	哦，是吗，呵呵，我不太去
3721	是上网助手吧？
BT 知道什么意思吗	BitTorrent(简称BT，比特洪流)是一个文件分发协议，它通过URL识别内容并且和网络无缝结合。它在HTTP平台上的优势在于，同时下在一个文件的下载者在下载的同时不断互相上传数据，使文件源可以在很有限的负载增加的情况下支持大量下载者同时下载。
CCTV的网站	www.cctv.com
Google	搜索引擎
Google好还是百度好？	说起这哪种在线搜索平台好，还真是萝卜青菜各有所好啦！
MOP你知道么	一家娱乐互动门户网站呀！
MSN不如QQ好啊	嘘～～这话别让盖叔叔听到。
MSN的用户名后缀都有哪些	好像没有特别规定吧！
MSN教学	听说过的，远程教育吗？
MSN里怎么加好友	点击MSN上的小加号。
MSN群是什么啊？	刚上线的新功能啊
MSN是什么?	是一种iM
MSN网名在什么地方可以改	老兄，这都不知道，落伍了吧
NET	啊啊，你想说什么来着？
OA	OA是什么啊，是一个系统吗？
PCMan	很好用的BBS浏览器
QQ	还是玩MSN吧
QQ小太阳是什么?	害人在网上无聊闲逛的东西
QQ好还是MSN好？	MSN吧
QQ游戏呢？	不错喔，很好玩的
baidu	百度
baidu是什么？	和google一伙的家伙。
bbs	灌水
bitspirit	最好的bt下载软件
bt是什么意思？	一种p2p软件的简称2.用来夸奖对方^_^
icq	一个聊天工具啊
id	什么id啊？
ie不用啊？	不用ie怎么上网
ie浏览器	我用阿！
internet	explorer浏览器
ip什么意思？	iP（internet Protocol）协议的英文名直译就是：因特网协议。
iso	国际标准化组织(international Organization for Standardization)
mahuateng	腾讯公司的老总啦～
mail2000	是邮件系统啊？
monday	星期一
money	钱不是万能的！没有钱是万万不能的
monkey	哈哈，猴子猴子，我最喜欢猴子
moon	月亮
mop	呵呵~今天你上啦？
mop标准答案	这个有啥标准答案的啊～
mop里面有很多联盟，你都知道哪些啊？	好多好多的
mop是虾米？	啊？你没去过吗？一个大杂烩哦，里面什么都有
mop算什么，我不怕他	小心他关你小黑屋，呵呵～～
mop网络电台的？	我知道的
msn	MSN就是好~~~
msn hack	视频搜索引擎？
msnplus	MSN插件呀
msnplus!	MSN插件。
msn和qq	你喜欢哪个？
msn还公开api嘛	不知道啊，不熟悉，呵呵
msn上的人比qq上正经	恩，你怎么知道啊
msxcms	世界计算机届领航者
m群怎麼加人	报给人家群号呀！
oicq	嗯，这个是国际的呀
point to point	也就是在以太网上传送ppp数据包的协议ppp通常是用在点对点的链路上，支持多协议，计费方便，支持多链路捆绑等优点。由于ppp协议用在计费和支持多协议方面很有帮助，所以制定在以太网（广播链路上）传送ppp数据包的协议，以利于xdsl计费和支持多协议。ppp包头＋数据段是直接的封装在以太网帧上，工作方式基本分2大阶段发现和会话阶段。使用以太网协议字段进行标识。
qq币	你有吗？
qq好不好啊?	好～～～我喜欢！
qq好厉害。机器人也有了饿	恩恩~
qq好吗？	好
qq好玩吗？	(好～)~认识不少帅弟弟呢~
qq和你是什么关系？	没什么特别的
qq卖东西贵吗?	不知道..
qq没msn好	都好
qq呢？	这不正用呢吗
qq你用过吗？	我还小呢，妈妈不叫我用。
qq批发	不知道在哪里
qq软件不好	谁说的！
qq杀手	病毒
qq申请密码保护要收费么？	不要
qq是垃圾	不是！
qq是什么？	即时通讯软件，由腾讯公司提供
qq游戏	就是qq里面的一种游戏啊，可以打麻将可以打牌什么的
qq有什么用	泡妹妹的。
qq有最新版了啊？	有了，你可以去看看
qq真垃圾	才不是呢。
qwerty	你用的是标准键盘
q币	我没有，这个东西得用钱买，太贵。
sina	新浪网
sina.com	你常去吗？
sohu	搜狐，老板是张朝阳
tm不是应该有个号码的吗	不知道
tm可以换皮肤吗？	不知道哦
tm上有吗？	那是当然……
tm是出错！	是啊，可她也在成长，有一天她会很优秀的！
tm是什么	腾讯公司出品的办公聊天软件
web	net
what is explorer浏览器？	就是上网工具咯！
ww	啥意思啊？你要进网站啊？
yahoo	嗯，我喜欢这个网站啊
ｑｑ卡能不收钱吗？	你能不吃饭吗？
爱生活爱猫扑	你也是mopper阿!?幸会幸会!
百度	一个不错的搜索网站，我经常用的．
百度的地址	www.baidu.com
百度公司电话是多少啊？	百度咨询电话：02161353019
百度上海公司在那里啊？	上海市静安区威海路511号11层
百度总部在哪里？	北京市北四环西路58号理想国际大厦12层
斑竹	你说的是哪个BBS的版主呐
板凳	那我坐沙发
不会哦，现在很少人用tm的	以后会多起来的
不能用qq的表情？	可以的啊，但是表情代码和一般的不一样。你可以按ｑｑ的表情符号输入，管理员会帮你修改为正确的。
超时了	倒。你网络有问题
春秋航空网址	你是要出远门吗？
大网	一帮帮的bt在里面制造报纸和杂志，赞！
大学生在线	不许做广告哦，嘿嘿～～
大杂烩的网址是什么啊？	有没有搞错，我怎么知道。
电子商务	现在这个比较流行哦
顶什么顶啊，看贴要回贴	我顶先
我觉的新版的qq头象很少	是啊但是它的功能挺齐全的
我们的网站打不开了，有什么办法嘛？	我帮你看看，地址发给我。
寰宇之星	网站
你懂黑客吗？	不懂，所以我老被黑！
你懂网络硬盘吗？	网络硬盘就是网络上的硬盘呗
你好这个不是和qq差不多吗？	是的，差不多啊！
你会上网吗	会啊，当然会咯，我常上
你会在qq里出现吗?	不知道
你交我怎么在qq上打彩字	去网站上找啊，好多的阿
你教我qq用语	(好～)
你觉得qq好还是msn好？	两个都好。
你觉得新版qq怎么样？	不错啊，你觉得呢？
你可以教会我,qq的基本操作吗	不可以啊,这个,我也不懂
你乱说不是你的ｑｑ	我以后不会得了
你玩qq吗	正在用它跟你聊天呢
你玩过语聊么	不懂，要不你来教我吧
你喜不喜欢qq呀？	当然喜欢
你喜欢MSN?	是啊，其实ｍｓｎ和ｑｑ各有千秋～～
你喜欢qq还是tm？	都喜欢
你用的是什么版本的qq？	最新的版本~~厉害吧~~~告诉你个秘密:我在腾讯总部能第一时间使用最新版的qq哦
你有会员QQ吗？	我没有
你有罗兰.希尔的qq吗？	这个嘛，除非你贿赂我。不然打死也(不说)^_^
你有没有qq	有啊，你上来就可以看到我了啊
你有他qq号吗？	谁？
你在MOP上的iD是什么？	我不怎么上mop的
你在MSN的朋友有谁	多类，遍地各地的
你怎么知道她qq啊	我是仙嘛
你真的不知道猫扑吗？	知道啊，不过好长时间都不去玩了
你知到tm怎么换皮肤的吗？	不知道哎！
你知道,好的网上空间吗?	恩,我去帮你找找看好吗?等一下再说.
你知道iT是什么吗？	iT：通常是一种职业，也叫“挨踢”
你知道MSN吗？	当然，MSN Messenger是微软推出的一个广受欢迎的即时通信软件，很多中国网民习惯把它简称为“MSN”。MSN Messenger目前已经正式更名为Windows Live Messenger，最新正式版可以在http://messenger.live.cn/ 这个地址下载。
你知道d5的网址是什么吗?	当然知道啦!!!
你知道ft是啥吗	当然知道，ft都不知道，我还怎么在网上混
你知道mop么?	知道....那里有好多jr和ry
你知道mp有什么用么？	嘿嘿，不知道啊，可以兑换的吗
你知道qq吧	知道，他是我哥们
你知道qq家园怎么弄音乐吗	不知道，哪天我问问ＱＱ再告诉你
你知道北京哪有网吧吗？	好多的，你自己查吧。
你知道比较强的搜索引擎是什么么?	google、百度、雅虎
你知道防火墙吗？	硬的还是软的?呵呵
你知道互联网上哪的东西最好吗?	淘宝你可以去看看呀
你知道卡巴斯基吗？	知道，杀毒的吗!
你知道马化腾是谁吗？	腾哥啊，我跟他手下的ＱＱ是好哥们儿
你知道猫扑吗？	知道啊，一个大杂会嘛，你喜欢去那儿玩啊～
你知道猫扑么	一家娱乐互动门户网站呀，怎么了？
你知道生活发现会的网址吗?告诉我	地球人都知道
你知道谁会做网站吗?	不清楚哦
你知道他们的网号吗	它们的网号qq
你知道我的QQ号码吗？	你告诉我，我不就知道了吗：P！
你知道易趣吗	:S是个购物网站?
哦  是这样啊  那就去网上下载啊	那你给我介绍一个吧
哦。你有她qq号码吗？	没有，她没跟我说过
你可以给我几个q币么?	(好～)..
你能帮我下载自定义表情吗？	可以啊
为甚么会有msn啊	你先问问你自己，为什么会有你啊
你有什麼方法可以看到對方有沒有刪除我的msn	我也看不到，等我碰到他了问问
為何我有你msn	是你的朋友介绍的呀，你忘了？
你很小就会msn了吗	是呀，我出生的时候，旁边有人老在说“摸死你”，所以我从那里就记得msn了
你那有可爱的msn表情么	没有很多，你有吗？
你是不是msn的新功能	不是，我很早就在msn上了
你天天上msn	没办法，老板不让用其他的
你晚上开不开msn	开的，你晚上可以跟我说句话，就知道我在不在
你这里有没有msn祝福代码呢	这些我还没学，等学了我再告诉你
所有用msn的人你都加了吗	暂时没有，不过那是我的目标，我要跟每个上网的人做朋友
我们年轻人不用msn	那没关系，你总有不是年轻人的那天，我会陪你一起成熟的
我想请教你一下msn的功能可以吗	要收学费的哦，开玩笑了，你想知道什么
有沒有其他人msn	有啊，不过这个得经过其他人同意才好告诉你哦
msn如何添加好友聊天啊	不会吧，你是则开始用msn吗？
msn是不是对网速要求很高	没什么特别要求吧，只要你能正常上网就可以了
目前有多少人使用msn啊	很多很多，具体的数字就不跟你说了，怕吓你一跳
我很少去那个网了	为什么呢
我没有那个，只有qq	哦，你可以申请一个嘛，很方便的
怎么点击后打不开呢	可能是网速有问题
我这里网权限制的	这么严格啊
msn上的小加号	在搜索栏的旁边
msn上跟哪个小姑娘聊聊天	没有小姑娘，只有大姑娘
msn上写他不得空	那就不要打扰人家了
但是我msn上只有两个朋友	哦，没关系，有我就可以了，我永远陪着你
给我点msn的图释	我就不点，你能拿我怎么办
我现在在测试msn	哦，你在做测试工作的？
那为什么自动到我msn了	我也不知道，不过我很喜欢你
我不孤单.我就好奇,你这个msn	嘿嘿，你以前没听说过我的名字？
我msn有病毒了,是不是你搞的	这个肯定不是我，我也很害怕病毒的
我不要msn多开、提速、股价预警	什么意思，看不懂唉
我的意思是,可以在手机msn上叫你么	可以的呀，只要你能上msn，那就可以和我聊天
我朋友想加你msn	好啊，我最喜欢交朋友了
我删除了可是我开msn 还是会在	为什么要删除我
我是说和msn通话一样吗	不一样，不能通过msn和我通话的
我讨厌你总在我的msn上	:(为什么这么讨厌我
我现在为什么不能玩msn的游戏	是不是网速太慢了
我想申请msn	好呀，申请好就可以跟我玩了
我要一台电脑登陆两个msn	你厉害，两个上面都有我吗？
我有个朋友msn中毒了	全身颤抖，我最害怕病毒了
因为我只有今天才上这个msn	哦，那没关系，从今天开始，咱们伟大的友谊开始了
有人盗用的我msn	好可恶啊
怎么我上msn不久会自动关掉	是不是中毒了
